"simulation","method","accuracy","prob_accuracy","tree_size"
122,"TreeTime_Custom",0.688796680497925,0.686074892011277,483
123,"ACE",0.543650793650794,0.558638220028224,505
123,"SIMMAP",0.543650793650794,0.558373015873016,505
123,"SAASI",0.948412698412698,0.922477484772998,505
123,"SAASI_pars",0.944444444444444,0.835830511102993,505
123,"PastML",0.619047619047619,0.611234807873988,505
123,"TreeTime_1.0",0.555555555555556,0.573764519410813,505
123,"TreeTime_Custom",0.488095238095238,0.512208058743615,505
124,"ACE",0.54014598540146,0.558190763140843,549
124,"SIMMAP",0.558394160583942,0.576131386861314,549
124,"SAASI",0.908759124087591,0.887632042706913,549
124,"SAASI_pars",0.905109489051095,0.833646342411231,549
124,"PastML",0.686131386861314,0.641798325352168,549
124,"TreeTime_1.0",0.642335766423358,0.617098502618243,549
124,"TreeTime_Custom",0.558394160583942,0.572693997298968,549
125,"ACE",0.516949152542373,0.548836356379526,473
125,"SIMMAP",0.580508474576271,0.571694915254237,473
125,"SAASI",0.927966101694915,0.899420012842998,473
125,"SAASI_pars",0.898305084745763,0.833211166810022,473
125,"PastML",0.669491525423729,0.611803442163019,473
125,"TreeTime_1.0",0.63135593220339,0.592338283073249,473
125,"TreeTime_Custom",0.470338983050847,0.540657758329769,473
126,"ACE",0.698996655518395,0.668570630304725,599
126,"SIMMAP",0.705685618729097,0.677558528428094,599
126,"SAASI",0.906354515050167,0.894612660023321,599
126,"SAASI_pars",0.903010033444816,0.853606047511847,599
126,"PastML",0.79933110367893,0.764849174323199,599
126,"TreeTime_1.0",0.832775919732441,0.784362996523471,599
126,"TreeTime_Custom",0.782608695652174,0.77194399531098,599
127,"ACE",0.628318584070796,0.595540391637194,453
127,"SIMMAP",0.650442477876106,0.604336283185841,453
127,"SAASI",0.973451327433628,0.938699940458552,453
127,"SAASI_pars",0.955752212389381,0.762823431735374,453
127,"PastML",0.566371681415929,0.586382098602382,453
127,"TreeTime_1.0",0.831858407079646,0.739436875590888,453
127,"TreeTime_Custom",0.712389380530973,0.674314043489292,453
128,"ACE",0.578947368421053,0.572507772368233,457
128,"SIMMAP",0.56578947368421,0.571973684210526,457
128,"SAASI",0.925438596491228,0.89291590732022,457
128,"SAASI_pars",0.899122807017544,0.834525593480783,457
128,"PastML",0.640350877192982,0.63671172999589,457
128,"TreeTime_1.0",0.618421052631579,0.615419781910293,457
128,"TreeTime_Custom",0.596491228070175,0.589048559612951,457
129,"ACE",0.567567567567568,0.572009699374066,519
129,"SIMMAP",0.617760617760618,0.59945945945946,519
129,"SAASI",0.942084942084942,0.91053618961176,519
