"simulation","method","accuracy","prob_accuracy","tree_size"
146,"TreeTime_Custom",0.95632183908046,0.922270069649034,871
147,"ACE",0.90167865707434,0.846931212526101,835
147,"SIMMAP",0.892086330935252,0.850863309352518,835
147,"SAASI",0.94484412470024,0.922810245803422,835
147,"SAASI_pars",0.932853717026379,0.883484969646882,835
147,"PastML",0.877697841726619,0.803843419021039,835
147,"TreeTime_1.0",0.928057553956835,0.896486208439194,835
147,"TreeTime_Custom",0.935251798561151,0.909330190813707,835
148,"ACE",0.930946291560102,0.879989213938135,783
148,"SIMMAP",0.918158567774936,0.878516624040921,783
148,"SAASI",0.953964194373402,0.938222450689335,783
148,"SAASI_pars",0.941176470588235,0.903706926490906,783
148,"PastML",0.892583120204604,0.783013131745125,783
148,"TreeTime_1.0",0.930946291560102,0.890974023875525,783
148,"TreeTime_Custom",0.930946291560102,0.911283794175977,783
149,"ACE",0.947136563876652,0.884651398073131,909
149,"SIMMAP",0.936123348017621,0.881784140969163,909
149,"SAASI",0.973568281938326,0.956341759575329,909
149,"SAASI_pars",0.964757709251101,0.913617330276112,909
149,"PastML",0.911894273127753,0.807125898918878,909
149,"TreeTime_1.0",0.947136563876652,0.910557937764167,909
149,"TreeTime_Custom",0.951541850220264,0.925407684269068,909
15,"ACE",0.951573849878935,0.916855981627148,827
15,"SIMMAP",0.949152542372881,0.916682808716707,827
15,"SAASI",0.978208232445521,0.954437995172968,827
15,"SAASI_pars",0.966101694915254,0.927916332609508,827
15,"PastML",0.951573849878935,0.908517976212522,827
15,"TreeTime_1.0",0.968523002421308,0.94577249249235,827
15,"TreeTime_Custom",0.968523002421308,0.951478809565744,827
150,"ACE",0.938559322033898,0.89386945680537,945
150,"SIMMAP",0.938559322033898,0.893728813559322,945
150,"SAASI",0.966101694915254,0.949841040305204,945
150,"SAASI_pars",0.963983050847458,0.916386762832218,945
150,"PastML",0.934322033898305,0.879133344995488,945
150,"TreeTime_1.0",0.961864406779661,0.936546390012639,945
150,"TreeTime_Custom",0.963983050847458,0.942684836182813,945
151,"ACE",0.899328859060403,0.84810023114857,895
